Review,sentiment,topic
"Всем привет ! Вот решил найти смартфон с топовым железом но приемлемой цени после просмотра многих обзоров я остановил свой выбор на LeTV leeco le Max 2. Данный смартфон с топовым процессором Snapdragon 820, видео ускорителем андрено 530 и 4 гб оперативной памяти занимает высокие позиции в антуту. Стоит смартфон около 20000 рублей что существенно ниже аналогов известных брендов с таким же железом. Дальше в статье разберем все возможности смартфона.,",Позитивный,Оценка характеристик и стоимости смартфона
"Результат AnTuTu Benchmark v7.1.0 - 157498 Результат Geekbench v4.2.3 - Single-Core - 1777, Multi-Core - 4195 При наличии прямых рук можно установить Андрюшу (Андроид) 7 или 8 версии. Покупал за 10495 р. (июнь 2018).,",Нейтральный,Технические характеристики устройства
"Я бы сказал, что модель очень хорошая. Но если сдохнет приемник wifi, то на обычную мобильную сеть не надо надеятся, ужасно ловит. Батареи хватает на часов 2-3 если работать без перерыва, сильно нагревается. Экран суперский, камера 21мп. очень хорошая. Я бы порекомендовал, но в плане интернета тут вообще зашквар.,",Смешанный,Функциональные характеристики устройства
"Память не кончается.. не привычно,",Нейтральный,Технические характеристики
"ХЛАМ,",Отрицательный,Качество
"восторг был очень недолгим.,",Отрицательный,Настроение и эмоции
"Примерно год пользуюсь данным телефоном.Сохранился достаточно хорошо. Визуально есть потёртости на крышке. С лицевой стороны небольшие царапины. Пережил примерно три падения с метровой высоты на бетонный пол. Вылетала батарея вместе с крышкой. Это никак не отразилось на работе, что очень приятно. Очень тормозит приложение 2гис. Связь очень часто обрывается при звонке. Во время разговора происходит ухудшение и не могу расслышать, что говорят на той стороне. Иногда, обрывается после непродолжительного звукового сигнала. В целом, к покупке нейтрально отношусь, но благодарен аппарату за верную и бесперебойную службу. После падений, он ещё что-то может =),",Нейтральный,Недостатки и положительные качества телефона
"За свои деньги телефон безусловно неплох, но у старых One Touch-ей батарея была прекрасной, поэтому я не поверила отзывам об этой. Убедилась на практике, что комментарии не врали. И да - с него не получается ловить покемонов!,",Негативный,Батарея и качество связи
"Лично мне понравился,не жалею.,",Позитивный,Личное мнение
"Pixi брался для ребенка. Голосовой гуглопоиск радует -все ищет правильно, и даже знает -кто такой екарный бабай)) Игрушки -subwfay, hill climb, angry ну другие идут без тормозов. Камера более-менее снимает только при хорошей освещенности. социалки работают нормально. Ну и как звонилка в порядке.. Как телефон начального уровня -то, что доктор прописал)) и ребенок в восторге!,",Позитивный,Оценка функциональности телефона
"Не советую покупать, тк самого святого - нормальной связи от него ждать не приходиться. только что был в сети, через минуту уже вне зоны доступа... Сегодня после очередного сбоя сети и кучи ругани в свой адрес пойду искать другой телефон,",Отрицательная,Качество услуги связи
"заказывал для работы 5штук в цвете gold. По эргономике и ""лежанию"" в руке телефон очень напоминает 3ий iphone (который был с немного выпуклой пластиковой крышечкой). Работают на ура, рабочих столов в них куча - я сделал 7, потом надоело (""продвинутый пенсионер"" - из отзыва здесь же - не смог, видимо, разобраться)). Для цены 3600р - отличный девайс.,",Позитивный,Качество
"Худший телефон на данный момент который есть на рынке.Проигрывает даже совсем уж бюджетным моделям.Пригоден только для тех кто активно пользуется интернетом, но из-за батареи что тает как сахар в чае, непригоден и для этого.  Не может нормально работать с ПК -запустить инет через USB так и не удалось.  Возможность управления файлами на телефоне реализована отвратительно, диспетчер файлов и вовсе ужасен. 2 гб для пользователя никак не ощущаются -у меня доступно только 700 мб, которые в общем то можно использовать разве что для музыки. Прошить телефон тоже не выйдет -прошивок у модели нет.  Камера - просто потеха.Делает тяжелые, размытые снимки.  Плеер ужасен - начиная от картинки-превью, заканчивая громкостью.  Телефон явно для девушек.Себе взял из за того что срочно нужен был смартфон.Выкинул через месяц, теперь хожу с моделью попроще и вспоминаю этот ""смартфон"" как страшный сон.,",Отрицательная,Качество
"Прекрасный телефон, если бы не слабая камера,",Позитивный,Камера
"Для подростка самое то.,",Позитивный,Подростковая аудитория
"Срочно нужен был смартфон-звонилка. Выбрал данную модель, т.к. понравились размеры и вес. Техническая начинка могла бы быть неплохой если бы не откровенно слабый процессор. Дисплей выцветает если смотреть на него под углом и/или при ярком солнечном свете, но при цене в 2-3 тысячи рублей в этом ничего удивительного.,",Нейтральный,Технические характеристики смартфона
"купил потому что нужен был срочно смарт с интернетом но за маленькие деньги через два дня понял что погорячился)Ужасный телефон!!!,",Отрицательный,Качество
"наличие здравого смысла и покупка такого телефона несовместимы в рамках одной человеческой особи. ох, как мне, чувствую, долго придется карму теперь чистить... СЛУШАЙТЕ, ЛЮДИ! НИКОГДА-НИКОГДА НЕ ПОКУПАЙТЕ ЭТО ЧУДО!,",Отрицательная,Рекомендация против покупки
"Мне подарили этот телефон три года назад. Первое время работал нормально, но потом начал жутко лагать и тормозить. Процессор Спредтрум и 512Мб ОЗУ не справляются со своей работы. Сейчас планирую его продать и купить новый телефон,",Отрицательный,Работа телефона/Технические характеристики
"Поторопился конечно с покупкой... Остался без связи - нужен был простенький андроид со всеми своими функциями с 3g. Посоветовали этот. Разочарован... Но может кому и он подойдет, Я имею ввиду у кого есть возможность находиться у розетки и использовать сотовый телефон как стационарный))) Всем добра и хороших девайсов!,",Отрицательный,Покупка мобильного устройства
"Кирпич кирпичом. Тормоз. Лучше бы не покупал, но срочно понадобился телефон с Андроидом, а денег на более дорогой не оказалось.,",Отрицательный,Покупка телефона
"Конченный телефон, постоянно тормозит как на рабочем столе, так и в интернете, невозможно даже написать чего либо на клавиатуре, потому что тормозит, естественно 1 ядро в процессоре при такой частоте, где же будет тут летать, камера так себе, снимает в 480p но остальное ужасное, брал на время, когда сломался keneksi smart, тот естественно получше будет но только памятью не хвастается, сюда бы ему запихать максимум 2 ядерный процессор с хорошей частотой и камеру 5 мп Вообще не советую брать такую трубку, если хотите посидеть в интернете, а только звонить.,",Отрицательный,Качество
"В общем, пожалела, что купила.,",Отрицательная,Покупка
"Перематывает он песни: просто щелкайте не на линейку прогресса, а на ""следующий трек"" с задержкой - нажмите и держите, будет мотать.,",Нейтральный,Функциональность приложения
"Использую практически все функции телефона, Нареканий нет. Трубка надежная, использую на работе. Множество раз ронял, как-то даже дисплей треснул по диагонали, но все работает отлично, тач не глючит. На телефоне можно спокойно, без глюков и зависаний просматривать фильмы размером до 4 гб (большего формата не позволит файловая система флэшки. Мое мнение - телефон превосходный за такую сумму,",Позитивный,Опыт эксплуатации
"Пользуюсь как вторым телефоном. Кроме внешнего вида и отличного звука в трубке - всё остальное очень разочаровало. Мне всё неудобно - набирать номер, искать телефон и т.д., про набор смс вообще молчу. Первый раз у меня такое с телефоном. Если притронуться к нему после айпада - так вообще хочется разбить его об стену(,",Отрицательный,Функциональность и удобство пользования
"Своих денег стоит. Если нужен телефон, а не смарт - берите смело.,",Позитивный,Рекомендация покупки
"телефончик очень неплохой если нужен для звонков и смс сообщений, дизайн обалденный, все друзья завидовать будут, а если ты дня не смыслишь без интернета, то эта модель не для тебя.,",Позитивный,Дизайн и функциональность телефона
"Купил себе этот после Xenium X800 - ради гарантии, камеры и софта. Не пожалел. При всех минусах это просто монстр среди всех сенсорников. За первый год эксплуатации заряжал от зарядки не больше 10 раз. Телефон успевал зарядится пока скидывал на него музыку.,",Позитивный,Эксплуатационные характеристики и удобство
"С учетом того, что у меня нет необходимости пользоваться с его помощью интернетом, поэтому сию сторону не оцениваю - неплохой. Звонить- смотреть- слушать -играть - вполне комфортно.,",Нейтральный,Удобство и функциональность
"Никаких, одно разочарование, низкому не советую покупать именно эту модель. Лучше поднакопить и купить нормальный телефон.,",Отрицательный,Качество
"Полгода со смартом отходила, устраивает. Правда надо было сразу после покупки его в чехол закинуть, слишком быстро пришел в потрепанный вид.,",Нейтральный,Качество
"Купил смартфон перед новым годом, пока не подводил. Нравится.,",Позитивный,Пользование смартфоном
"Честно говоря, не знаю, как относиться к этому аппарату. Вроде бы бюджетник и хвалить его трудно, особенно, если имел в пользовании аппараты ценой в 10 раз больше, но с другой, блин, экран и особенно звук здесь реально отличные. Особенно звук: такое чувство, что здесь стоит встроенный ЦАП (хотя его конечно тут нет). Но с другой стороны, железо подойдет только для мессенджеров, никаких серьезных игрушек сюда не поставить. И батарейки только на сутки хватает. С учетом цены, наверное, можно 5 с минусом поставить и пометку сделать ""совсем бюджетник"". Звук и камера вытягивают все.,",Нейтральный,Оценка технических характеристик устройства
"Даже не знаю что написать. Волк - просто смартфон за 4 тысячи. Не хороший, не плохой - нормальный. Может быть плеером, с него удобно серфить (не тормозит), видео на ютубе тоже удобно смотреть, потому что экран большой, батарейки хватает на день... Каких то особенных фишек нет. Но мне норм.,",Нейтральный,Оценка устройства
"Смарт бюджетный конечно но довольно сносный. Экран хорош, звук более чем отличный, камера какая то есть. Из кармана доставать не стыдно - выглядит вполне себе презентабельно. В игры не играюсь, поэтому за производительность сказать не могу... Батарейка только держит относительно немного, меньше моего прошлого смартфона (тоже кстати вертекс, но почти в три раза дороже. Очень нравился, но украли в клубе).,",Нейтральный,Оценка характеристик устройства
"вполне средненький телефон для своей стоимости, однако есть куда более удачные аналоги за схожую цену.,",Нейтральный,Сравнение качества аналогов
"Кому нравится тот пусть берёт!!!А я хочу его уже сдать обратно!!!!,",Отрицательный,Возврат товара
"Отличный подарок врагу: нервный тик, слёзы и сожаления обеспечены. По-моему, это единственное неодушевленное существо, которое способно вызвать ненависть.,",Отрицательная,Эмоциональная реакция
"Недорогой многофункциональный телефон.,",Позитивный,Функциональность и цена
"у меня он уже 2 года в 2008 купила некогда еще в ремонт не носила у меня были и нокиа и сименсы и самсунги но этот у меня дольше всех продержался мне этот мобила нравится очень покупала за 5000 руб а сейчас уже 8200руб,",Позитивный,Долговечность и качество
"Внешне нравится, но неудобства с кнопками нервируют. Думаю о покупке нового телефона.,",Нейтральный-отрицательный,Удобство интерфейса
"НЕ ПОКУПАЙТЕ ЕГО ФИГНЯ ПОЛНАЯ!!!!! Только тратите деньги впустую!,",Отрицательная,Оценка товара
"никогда больше не куплю телефон этой фирмы, в сервис попал еще по гарантии, отремонтировали хватило на месяц - звук и кнопки, сейчас вообще сам выключился и не включается, куплю другой, не советую брать,",Отрицательный,Качество
"в принципе неплохой телефон для звонков,прослушивания музыки и чтения книжек(при условии установки какой-нибудь проги для этого).,",Нейтральный,Функциональность
"В целом, покупал для бизнеса: 1000 номеров, диктофон, две сим. Про отваливание второй SIM узнал не сразу, и это есть причина по которой можно до 14 суток с момента покупки сдать этот телефон и забрать деньги, но альтернатив за эти деньги пока не вижу. Покупать Китайцев без гарантии в ларьке хуже чем телефон, который имеет шансы в случае если производитель исправит прошивку... а с моими тремя годами гарантии время подождать есть. В конце концов через 2 года и 360 дней можно вернуть его по причине отвала второй сим :)Один раз и у меня был описанный случай, когда по завершению разговора собеседник на противоположной стороне повесил трубку а у меня счётчик времени продолжал отсчёт, телефон завис и вышел из комы только ротациями аккумулятора. Если покупать MC150DS только ради звонков без сильных запросов- то это вполне хороший телефон. Но моя старая Nokia C3110 classic всёравно пока ездит на поддержке ""необстрелянного птенца"" с третьей альтернативной SIM и с её помощью периодически тестирую Fly на глюки. PS через 11 дней эксплуатации появилось тёмное пятно на дисплее- сдал без сожаления на экспертизу и через 21 день подтвердили заводской брак и вернули деньги. Телефон снят с производства. Аккумулятор на него через год не найдёшь! Я уже не думаю про зап.части и т.п. Дождаться исправления прошивки также не судьба. Нацелился на LG GX300- там два радиомодуля, диктофон- всё что нужно. У жены LG C3210 уже пять лет.. в сервисе по гарантии поменяли всё нутро и до сих пор ни одного глюка и даже аккумуляторы продают! Второй купленный такой же телефон через 3 месяца дал маху: отвалился разъём питания и usb/ По гарантии не понёс ибо телефон нужен по работе, разобрал и припаял сам, правда пришлось аккуратно потратить 1,5часа. Качество припоя ужасное. Сам разъём припаян на соплях. Под ним есть две квадратные позолоченные площадки, так вот их даже не облудили, хотя они и рассчитаны были для более надёжного удержания разъёма. Разъём флешки также на соплях!,",Отрицательный,Качество и надежность телефона
"Рабочая лошадка. Работал идеально и нареканий ни разу не вызывал. Считаю самым лучшим телефоном за всю жизнь. Жаль больше таких не выпускают =(,",Позитивный,Оценка качества и сожаление о прекращении производства
"очень приятный корпус,цена,громче не слышал, добавить навигацию и качественную камеру только его покупал.но за 2800 все очень нарядно,",Позитивный,"Оценка качества корпуса, звука, камеры и удобства использования устройства"
"За 2 т.р. неплохая звонилка-плеер с приятным дизайном и мощным аккумулятором.,",Позитивный,Цена-качество устройства
